8140 = U+3000 // 　
8aa9 = U+52e7 // 勧
8aaa = U+5dfb // 巻
8aab = U+559a // 喚
8aac = U+582a // 堪
8aad = U+59e6 // 姦
8aae = U+5b8c // 完
8aaf = U+5b98 // 官
8ab0 = U+5bdb // 寛
8ab1 = U+5e72 // 干
8ab2 = U+5e79 // 幹
8ab3 = U+60a3 // 患
8ab4 = U+611f // 感
8ab5 = U+6163 // 慣
8ab6 = U+61be // 憾
8ab7 = U+63db // 換
8ab8 = U+6562 // 敢
8ab9 = U+67d1 // 柑
8aba = U+6853 // 桓
8abb = U+68fa // 棺
8abc = U+6b3e // 款
8abd = U+6b53 // 歓
8abe = U+6c57 // 汗
8abf = U+6f22 // 漢
8ac0 = U+6f97 // 澗
8ac1 = U+6f45 // 潅
8ac2 = U+74b0 // 環
8ac3 = U+7518 // 甘
8ac4 = U+76e3 // 監
8ac5 = U+770b // 看
8ac6 = U+7aff // 竿
8ac7 = U+7ba1 // 管
8ac8 = U+7c21 // 簡
8ac9 = U+7de9 // 緩
8aca = U+7f36 // 缶
8acb = U+7ff0 // 翰
8acc = U+809d // 肝
8acd = U+8266 // 艦
8ace = U+839e // 莞
8acf = U+89b3 // 観
8ad0 = U+8acc // 諌
8ad1 = U+8cab // 貫
8ad2 = U+9084 // 還
8ad3 = U+9451 // 鑑
8ad4 = U+9593 // 間
8ad5 = U+9591 // 閑
8ad6 = U+95a2 // 関
8ad7 = U+9665 // 陥
8ad8 = U+97d3 // 韓
8ad9 = U+9928 // 館
8ada = U+8218 // 舘
8adb = U+4e38 // 丸
8adc = U+542b // 含
8add = U+5cb8 // 岸
8ade = U+5dcc // 巌
8adf = U+73a9 // 玩
8ae0 = U+764c // 癌
8ae1 = U+773c // 眼
8ae2 = U+5ca9 // 岩
8ae3 = U+7feb // 翫
8ae4 = U+8d0b // 贋
8ae5 = U+96c1 // 雁
8ae6 = U+9811 // 頑
8ae7 = U+9854 // 顔
8ae8 = U+9858 // 願
8ae9 = U+4f01 // 企
8aea = U+4f0e // 伎
8aeb = U+5371 // 危
8aec = U+559c // 喜
8aed = U+5668 // 器
8aee = U+57fa // 基
8aef = U+5947 // 奇
8af0 = U+5b09 // 嬉
8af1 = U+5bc4 // 寄
8af2 = U+5c90 // 岐
8af3 = U+5e0c // 希
8af4 = U+5e7e // 幾
8af5 = U+5fcc // 忌
8af6 = U+63ee // 揮
8af7 = U+673a // 机
8af8 = U+65d7 // 旗
8af9 = U+65e2 // 既
8afa = U+671f // 期
8afb = U+68cb // 棋
8afc = U+68c4 // 棄
8b40 = U+6a5f // 機
8b41 = U+5e30 // 帰
8b42 = U+6bc5 // 毅
8b43 = U+6c17 // 気
8b44 = U+6c7d // 汽
8b45 = U+757f // 畿
8b46 = U+7948 // 祈
8b47 = U+5b63 // 季
8b48 = U+7a00 // 稀
8b49 = U+7d00 // 紀
8b4a = U+5fbd // 徽
8b4b = U+898f // 規
8b4c = U+8a18 // 記
8b4d = U+8cb4 // 貴
8b4e = U+8d77 // 起
8b4f = U+8ecc // 軌
8b50 = U+8f1d // 輝
8b51 = U+98e2 // 飢
8b52 = U+9a0e // 騎
8b53 = U+9b3c // 鬼
8b54 = U+4e80 // 亀
8b55 = U+507d // 偽
8b56 = U+5100 // 儀
8b57 = U+5993 // 妓
8b58 = U+5b9c // 宜
8b59 = U+622f // 戯
8b5a = U+6280 // 技
8b5b = U+64ec // 擬
8b5d = U+72a0 // 犠
8b5e = U+7591 // 疑
8b5f = U+7947 // 祇
8b61 = U+87fb // 蟻
8b62 = U+8abc // 誼
8b63 = U+8b70 // 議
8b64 = U+63ac // 掬
8b65 = U+83ca // 菊
8b66 = U+97a0 // 鞠
8b67 = U+5409 // 吉
8b68 = U+5403 // 吃
8b69 = U+55ab // 喫
8b6a = U+6854 // 桔
8b6b = U+6a58 // 橘
8b6c = U+8a70 // 詰
8b6d = U+7827 // 砧
8b6e = U+6775 // 杵
8b6f = U+9ecd // 黍
8b70 = U+5374 // 却
8b71 = U+5ba2 // 客
8b72 = U+811a // 脚
8b73 = U+8650 // 虐
8b74 = U+9006 // 逆
8b75 = U+4e18 // 丘
8b76 = U+4e45 // 久
8b77 = U+4ec7 // 仇
8b78 = U+4f11 // 休
8b79 = U+53ca // 及
8b7a = U+5438 // 吸
8b7b = U+5bae // 宮
8b7c = U+5f13 // 弓
8b7d = U+6025 // 急
8b7e = U+6551 // 救
8b80 = U+673d // 朽
8b81 = U+6c42 // 求
8b82 = U+6c72 // 汲
8b83 = U+6ce3 // 泣
8b84 = U+7078 // 灸
8b85 = U+7403 // 球
8b86 = U+7a76 // 究
8b87 = U+7aae // 窮
8b88 = U+7b08 // 笈
8b89 = U+7d1a // 級
8b8a = U+7cfe // 糾
8b8b = U+7d66 // 給
8b8c = U+65e7 // 旧
8b8d = U+725b // 牛
8b8e = U+53bb // 去
8b8f = U+5c45 // 居
8b90 = U+5de8 // 巨
8b91 = U+62d2 // 拒
8b92 = U+62e0 // 拠
8b93 = U+6319 // 挙
8b94 = U+6e20 // 渠
8b95 = U+865a // 虚
8b96 = U+8a31 // 許
8b97 = U+8ddd // 距
8b98 = U+92f8 // 鋸
8b99 = U+6f01 // 漁
8b9a = U+79a6 // 禦
8b9b = U+9b5a // 魚
8b9c = U+4ea8 // 亨
8b9d = U+4eab // 享
8b9e = U+4eac // 京
8b9f = U+4f9b // 供
8ba0 = U+4fa0 // 侠
8ba1 = U+50d1 // 僑
8ba2 = U+5147 // 兇
8ba3 = U+7af6 // 競
8ba4 = U+5171 // 共
8ba5 = U+51f6 // 凶
8ba6 = U+5354 // 協
8ba7 = U+5321 // 匡
8ba8 = U+537f // 卿
8ba9 = U+53eb // 叫
8baa = U+55ac // 喬
8bab = U+5883 // 境
8bac = U+5ce1 // 峡
8bad = U+5f37 // 強
8bae = U+5f4a // 彊
8baf = U+602f // 怯
8bb0 = U+6050 // 恐
8bb1 = U+606d // 恭
8bb2 = U+631f // 挟
8bb3 = U+6559 // 教
8bb4 = U+6a4b // 橋
8bb5 = U+6cc1 // 況
8bb6 = U+72c2 // 狂
8bb7 = U+72ed // 狭
8bb8 = U+77ef // 矯
8bb9 = U+80f8 // 胸
8bba = U+8105 // 脅
8bbb = U+8208 // 興
8bbc = U+854e // 蕎
8bbd = U+90f7 // 郷
8bbe = U+93e1 // 鏡
8bbf = U+97ff // 響
8bc0 = U+9957 // 饗
8bc1 = U+9a5a // 驚
8bc2 = U+4ef0 // 仰
8bc3 = U+51dd // 凝
8bc4 = U+5c2d // 尭
8bc5 = U+6681 // 暁
8bc6 = U+696d // 業
8bc7 = U+5c40 // 局
8bc8 = U+66f2 // 曲
8bc9 = U+6975 // 極
8bca = U+7389 // 玉
8bcb = U+6850 // 桐
8bcc = U+7c81 // 粁
8bcd = U+50c5 // 僅
8bce = U+52e4 // 勤
8bcf = U+5747 // 均
8bd0 = U+5dfe // 巾
8bd1 = U+9326 // 錦
8bd2 = U+65a4 // 斤
8bd3 = U+6b23 // 欣
8bd4 = U+6b3d // 欽
8bd5 = U+7434 // 琴
8bd6 = U+7981 // 禁
8bd7 = U+79bd // 禽
8bd8 = U+7b4b // 筋
8bd9 = U+7dca // 緊
8bda = U+82b9 // 芹
8bdb = U+83cc // 菌
8bdc = U+887f // 衿
8bdd = U+895f // 襟
8bde = U+8b39 // 謹
8bdf = U+8fd1 // 近
8be0 = U+91d1 // 金
8be1 = U+541f // 吟
8be2 = U+9280 // 銀
8be3 = U+4e5d // 九
8be4 = U+5036 // 倶
8be5 = U+53e5 // 句
8be6 = U+533a // 区
8be7 = U+72d7 // 狗
8be8 = U+7396 // 玖
8be9 = U+77e9 // 矩
8bea = U+82e6 // 苦
8beb = U+8eaf // 躯
8bec = U+99c6 // 駆
8bed = U+99c8 // 駈
8bee = U+99d2 // 駒
8bef = U+5177 // 具
8bf0 = U+611a // 愚
8bf1 = U+865e // 虞
8bf2 = U+55b0 // 喰
8bf3 = U+7a7a // 空
8bf4 = U+5076 // 偶
8bf5 = U+5bd3 // 寓
8bf6 = U+9047 // 遇
8bf7 = U+9685 // 隅
8bf8 = U+4e32 // 串
8bf9 = U+6adb // 櫛
8bfa = U+91e7 // 釧
8bfb = U+5c51 // 屑
8bfc = U+5c48 // 屈
8c40 = U+6398 // 掘
8c41 = U+7a9f // 窟
8c42 = U+6c93 // 沓
8c43 = U+9774 // 靴
8c44 = U+8f61 // 轡
8c45 = U+7aaa // 窪
8c46 = U+718a // 熊
8c47 = U+9688 // 隈
8c48 = U+7c82 // 粂
8c49 = U+6817 // 栗
8c4a = U+7e70 // 繰
8c4b = U+6851 // 桑
8c4c = U+936c // 鍬
8c4d = U+52f2 // 勲
8c4e = U+541b // 君
8c4f = U+85ab // 薫
8c50 = U+8a13 // 訓
8c51 = U+7fa4 // 群
8c52 = U+8ecd // 軍
8c53 = U+90e1 // 郡
8c54 = U+5366 // 卦
8c55 = U+8888 // 袈
8c56 = U+7941 // 祁
8c57 = U+4fc2 // 係
8c58 = U+50be // 傾
8c59 = U+5211 // 刑
8c5a = U+5144 // 兄
8c5b = U+5553 // 啓
8c5d = U+73ea // 珪
8c5e = U+578b // 型
8c5f = U+5951 // 契
8c61 = U+5f84 // 径
8c62 = U+6075 // 恵
8c63 = U+6176 // 慶
8c64 = U+6167 // 慧
8c65 = U+61a9 // 憩
8c66 = U+63b2 // 掲
8c67 = U+643a // 携
8c68 = U+656c // 敬
8c69 = U+666f // 景
8c6a = U+6842 // 桂
8c6b = U+6e13 // 渓
8c6c = U+7566 // 畦
8c6d = U+7a3d // 稽
8c6e = U+7cfb // 系
8c6f = U+7d4c // 経
8c70 = U+7d99 // 継
8c71 = U+7e4b // 繋
8c72 = U+7f6b // 罫
8c73 = U+830e // 茎
8c74 = U+834a // 荊
8c75 = U+86cd // 蛍
8c76 = U+8a08 // 計
8c77 = U+8a63 // 詣
8c78 = U+8b66 // 警
8c79 = U+8efd // 軽
8c7a = U+981a // 頚
8c7b = U+9d8f // 鶏
8c7c = U+82b8 // 芸
8c7d = U+8fce // 迎
8c7e = U+9be8 // 鯨
8c80 = U+5287 // 劇
8c81 = U+621f // 戟
8c82 = U+6483 // 撃
8c83 = U+6fc0 // 激
8c84 = U+9699 // 隙
8c85 = U+6841 // 桁
8c86 = U+5091 // 傑
8c87 = U+6b20 // 欠
8c88 = U+6c7a // 決
8c89 = U+6f54 // 潔
8c8a = U+7a74 // 穴
8c8b = U+7d50 // 結
8c8c = U+8840 // 血
8c8d = U+8a23 // 訣
8c8e = U+6708 // 月
8c8f = U+4ef6 // 件
8c90 = U+5039 // 倹
8c91 = U+5026 // 倦
8c92 = U+5065 // 健
8c93 = U+517c // 兼
8c94 = U+5238 // 券
8c95 = U+5263 // 剣
8c96 = U+55a7 // 喧
8c97 = U+570f // 圏
8c98 = U+5805 // 堅
8c99 = U+5acc // 嫌
8c9a = U+5efa // 建
8c9b = U+61b2 // 憲
8c9c = U+61f8 // 懸
8c9d = U+62f3 // 拳
8c9e = U+6372 // 捲
8c9f = U+691c // 検
8ca0 = U+6a29 // 権
8ca1 = U+727d // 牽
8ca2 = U+72ac // 犬
8ca3 = U+732e // 献
8ca4 = U+7814 // 研
8ca5 = U+786f // 硯
8ca6 = U+7d79 // 絹
8ca7 = U+770c // 県
8ca8 = U+80a9 // 肩
8ca9 = U+898b // 見
8caa = U+8b19 // 謙
8cab = U+8ce2 // 賢
8cac = U+8ed2 // 軒
8cad = U+9063 // 遣
8cae = U+9375 // 鍵
8caf = U+967a // 険
8cb0 = U+9855 // 顕
8cb1 = U+9a13 // 験
8cb2 = U+9e78 // 鹸
8cb3 = U+5143 // 元
8cb4 = U+539f // 原
8cb5 = U+53b3 // 厳
8cb6 = U+5e7b // 幻
8cb7 = U+5f26 // 弦
8cb8 = U+6e1b // 減
8cb9 = U+6e90 // 源
8cba = U+7384 // 玄
8cbb = U+73fe // 現
8cbc = U+7d43 // 絃
8cbd = U+8237 // 舷
8cbe = U+8a00 // 言
8cbf = U+8afa // 諺
8cc0 = U+9650 // 限
8cc1 = U+4e4e // 乎
8cc2 = U+500b // 個
8cc3 = U+53e4 // 古
8cc4 = U+547c // 呼
8cc5 = U+56fa // 固
8cc6 = U+59d1 // 姑
8cc7 = U+5b64 // 孤
8cc8 = U+5df1 // 己
8cc9 = U+5eab // 庫
8cca = U+5f27 // 弧
8ccb = U+6238 // 戸
8ccc = U+6545 // 故
8ccd = U+67af // 枯
8cce = U+6e56 // 湖
8ccf = U+72d0 // 狐
8cd0 = U+7cca // 糊
8cd1 = U+88b4 // 袴
8cd2 = U+80a1 // 股
8cd3 = U+80e1 // 胡
8cd4 = U+83f0 // 菰
8cd5 = U+864e // 虎
8cd6 = U+8a87 // 誇
8cd7 = U+8de8 // 跨
8cd8 = U+9237 // 鈷
8cd9 = U+96c7 // 雇
8cda = U+9867 // 顧
8cdb = U+9f13 // 鼓
8cdc = U+4e94 // 五
8cdd = U+4e92 // 互
8cde = U+4f0d // 伍
8cdf = U+5348 // 午
8ce0 = U+5449 // 呉
8ce1 = U+543e // 吾
8ce2 = U+5a2f // 娯
8ce3 = U+5f8c // 後
8ce4 = U+5fa1 // 御
8ce5 = U+609f // 悟
8ce6 = U+68a7 // 梧
8ce7 = U+6a8e // 檎
8ce8 = U+745a // 瑚
8ce9 = U+7881 // 碁
8cea = U+8a9e // 語
8ceb = U+8aa4 // 誤
8cec = U+8b77 // 護
8ced = U+9190 // 醐
8cee = U+4e5e // 乞
8cef = U+9bc9 // 鯉
8cf0 = U+4ea4 // 交
8cf1 = U+4f7c // 佼
8cf2 = U+4faf // 侯
8cf3 = U+5019 // 候
8cf4 = U+5016 // 倖
8cf5 = U+5149 // 光
8cf6 = U+516c // 公
8cf7 = U+529f // 功
8cf8 = U+52b9 // 効
8cf9 = U+52fe // 勾
8cfa = U+539a // 厚
8cfb = U+53e3 // 口
8cfc = U+5411 // 向
8d40 = U+540e // 后
8d41 = U+5589 // 喉
8d42 = U+5751 // 坑
8d43 = U+57a2 // 垢
8d44 = U+597d // 好
8d45 = U+5b54 // 孔
8d46 = U+5b5d // 孝
8d47 = U+5b8f // 宏
8d48 = U+5de5 // 工
8d49 = U+5de7 // 巧
8d4a = U+5df7 // 巷
8d4b = U+5e78 // 幸
8d4c = U+5e83 // 広
8d4d = U+5e9a // 庚
8d4e = U+5eb7 // 康
8d4f = U+5f18 // 弘
8d50 = U+6052 // 恒
8d51 = U+614c // 慌
8d52 = U+6297 // 抗
8d53 = U+62d8 // 拘
8d54 = U+63a7 // 控
8d55 = U+653b // 攻
8d56 = U+6602 // 昂
8d57 = U+6643 // 晃
8d58 = U+66f4 // 更
8d59 = U+676d // 杭
8d5a = U+6821 // 校
8d5b = U+6897 // 梗
8d5d = U+6c5f // 江
8d5e = U+6d2a // 洪
8d5f = U+6d69 // 浩
8d61 = U+6e9d // 溝
8d62 = U+7532 // 甲
8d63 = U+7687 // 皇
8d64 = U+786c // 硬
8d65 = U+7a3f // 稿
8d66 = U+7ce0 // 糠
8d67 = U+7d05 // 紅
8d68 = U+7d18 // 紘
8d69 = U+7d5e // 絞
8d6a = U+7db1 // 綱
8d6b = U+8015 // 耕
8d6c = U+8003 // 考
8d6d = U+80af // 肯
8d6e = U+80b1 // 肱
8d6f = U+8154 // 腔
8d70 = U+818f // 膏
8d71 = U+822a // 航
8d72 = U+8352 // 荒
8d73 = U+884c // 行
8d74 = U+8861 // 衡
8d75 = U+8b1b // 講
8d76 = U+8ca2 // 貢
8d77 = U+8cfc // 購
8d78 = U+90ca // 郊
8d79 = U+9175 // 酵
8d7a = U+9271 // 鉱
8d7b = U+783f // 砿
8d7c = U+92fc // 鋼
8d7d = U+95a4 // 閤
8d7e = U+964d // 降
8d80 = U+9805 // 項
8d81 = U+9999 // 香
8d82 = U+9ad8 // 高
8d83 = U+9d3b // 鴻
8d84 = U+525b // 剛
8d85 = U+52ab // 劫
8d86 = U+53f7 // 号
8d87 = U+5408 // 合
8d88 = U+58d5 // 壕
8d89 = U+62f7 // 拷
8d8a = U+6fe0 // 濠
8d8b = U+8c6a // 豪
8d8c = U+8f5f // 轟
8d8d = U+9eb9 // 麹
8d8e = U+514b // 克
8d8f = U+523b // 刻
8d90 = U+544a // 告
8d91 = U+56fd // 国
8d92 = U+7a40 // 穀
8d93 = U+9177 // 酷
8d94 = U+9d60 // 鵠
8d95 = U+9ed2 // 黒
8d96 = U+7344 // 獄
8d97 = U+6f09 // 漉
8d98 = U+8170 // 腰
8d99 = U+7511 // 甑
8d9a = U+5ffd // 忽
8d9b = U+60da // 惚
8d9c = U+9aa8 // 骨
8d9d = U+72db // 狛
8d9e = U+8fbc // 込
8d9f = U+6b64 // 此
8da0 = U+9803 // 頃
8da1 = U+4eca // 今
8da2 = U+56f0 // 困
8da3 = U+5764 // 坤
8da4 = U+58be // 墾
8da5 = U+5a5a // 婚
8da6 = U+6068 // 恨
8da7 = U+61c7 // 懇
8da8 = U+660f // 昏
8da9 = U+6606 // 昆
8daa = U+6839 // 根
8dab = U+68b1 // 梱
8dac = U+6df7 // 混
8dad = U+75d5 // 痕
8dae = U+7d3a // 紺
8daf = U+826e // 艮
8db0 = U+9b42 // 魂
8db1 = U+4e9b // 些
8db2 = U+4f50 // 佐
8db3 = U+53c9 // 叉
8db4 = U+5506 // 唆
8db5 = U+5d6f // 嵯
8db6 = U+5de6 // 左
8db7 = U+5dee // 差
8db8 = U+67fb // 査
8db9 = U+6c99 // 沙
8dba = U+7473 // 瑳
8dbb = U+7802 // 砂
8dbc = U+8a50 // 詐
8dbd = U+9396 // 鎖
8dbe = U+88df // 裟
8dbf = U+5750 // 坐
8dc0 = U+5ea7 // 座
8dc1 = U+632b // 挫
8dc2 = U+50b5 // 債
8dc3 = U+50ac // 催
8dc4 = U+518d // 再
8dc5 = U+6700 // 最
8dc6 = U+54c9 // 哉
8dc7 = U+585e // 塞
8dc8 = U+59bb // 妻
8dc9 = U+5bb0 // 宰
8dca = U+5f69 // 彩
8dcb = U+624d // 才
8dcc = U+63a1 // 採
8dcd = U+683d // 栽
8dce = U+6b73 // 歳
8dcf = U+6e08 // 済
8dd0 = U+707d // 災
8dd1 = U+91c7 // 采
8dd2 = U+7280 // 犀
8dd3 = U+7815 // 砕
8dd4 = U+7826 // 砦
8dd5 = U+796d // 祭
8dd6 = U+658e // 斎
8dd7 = U+7d30 // 細
8dd8 = U+83dc // 菜
8dd9 = U+88c1 // 裁
8dda = U+8f09 // 載
8ddb = U+969b // 際
8ddc = U+5264 // 剤
8ddd = U+5728 // 在
8dde = U+6750 // 材
8ddf = U+7f6a // 罪
8de0 = U+8ca1 // 財
8de1 = U+51b4 // 冴
8de2 = U+5742 // 坂
8de3 = U+962a // 阪
8de4 = U+583a // 堺
8de5 = U+698a // 榊
8de6 = U+80b4 // 肴
8de7 = U+54b2 // 咲
8de8 = U+5d0e // 崎
8de9 = U+57fc // 埼
8dea = U+7895 // 碕
8deb = U+9dfa // 鷺
8dec = U+4f5c // 作
8ded = U+524a // 削
8dee = U+548b // 咋
8def = U+643e // 搾
8df0 = U+6628 // 昨
8df1 = U+6714 // 朔
8df2 = U+67f5 // 柵
8df3 = U+7a84 // 窄
8df4 = U+7b56 // 策
8df5 = U+7d22 // 索
8df6 = U+932f // 錯
8df7 = U+685c // 桜
8df8 = U+9bad // 鮭
8df9 = U+7b39 // 笹
8dfa = U+5319 // 匙
8dfb = U+518a // 冊
8dfc = U+5237 // 刷
8e40 = U+5bdf // 察
8e41 = U+62f6 // 拶
8e42 = U+64ae // 撮
8e43 = U+64e6 // 擦
8e44 = U+672d // 札
8e45 = U+6bba // 殺
8e46 = U+85a9 // 薩
8e47 = U+96d1 // 雑
8e48 = U+7690 // 皐
8e49 = U+9bd6 // 鯖
8e4a = U+634c // 捌
8e4b = U+9306 // 錆
8e4c = U+9bab // 鮫
8e4d = U+76bf // 皿
8e4e = U+6652 // 晒
8e4f = U+4e09 // 三
8e50 = U+5098 // 傘
8e51 = U+53c2 // 参
8e52 = U+5c71 // 山
8e53 = U+60e8 // 惨
8e54 = U+6492 // 撒
8e55 = U+6563 // 散
8e56 = U+685f // 桟
8e57 = U+71e6 // 燦
8e58 = U+73ca // 珊
8e59 = U+7523 // 産
8e5a = U+7b97 // 算
8e5b = U+7e82 // 纂
8e5d = U+8b83 // 讃
8e5e = U+8cdb // 賛
8e5f = U+9178 // 酸
8e61 = U+65ac // 斬
8e62 = U+66ab // 暫
8e63 = U+6b8b // 残
8e64 = U+4ed5 // 仕
8e65 = U+4ed4 // 仔
8e66 = U+4f3a // 伺
8e67 = U+4f7f // 使
8e68 = U+523a // 刺
8e69 = U+53f8 // 司
8e6a = U+53f2 // 史
8e6b = U+55e3 // 嗣
8e6c = U+56db // 四
8e6d = U+58eb // 士
8e6e = U+59cb // 始
8e6f = U+59c9 // 姉
8e70 = U+59ff // 姿
8e71 = U+5b50 // 子
8e72 = U+5c4d // 屍
8e73 = U+5e02 // 市
8e74 = U+5e2b // 師
8e75 = U+5fd7 // 志
8e76 = U+601d // 思
8e77 = U+6307 // 指
8e78 = U+652f // 支
8e79 = U+5b5c // 孜
8e7a = U+65af // 斯
8e7b = U+65bd // 施
8e7c = U+65e8 // 旨
8e7d = U+679d // 枝
8e7e = U+6b62 // 止
8e80 = U+6b7b // 死
8e81 = U+6c0f // 氏
8e82 = U+7345 // 獅
8e83 = U+7949 // 祉
8e84 = U+79c1 // 私
8e85 = U+7cf8 // 糸
8e86 = U+7d19 // 紙
8e87 = U+7d2b // 紫
8e88 = U+80a2 // 肢
8e89 = U+8102 // 脂
8e8a = U+81f3 // 至
8e8b = U+8996 // 視
8e8c = U+8a5e // 詞
8e8d = U+8a69 // 詩
8e8e = U+8a66 // 試
8e8f = U+8a8c // 誌
8e90 = U+8aee // 諮
8e91 = U+8cc7 // 資
8e92 = U+8cdc // 賜
8e93 = U+96cc // 雌
8e94 = U+98fc // 飼
8e95 = U+6b6f // 歯
8e96 = U+4e8b // 事
8e97 = U+4f3c // 似
8e98 = U+4f8d // 侍
8e99 = U+5150 // 児
8e9a = U+5b57 // 字
8e9b = U+5bfa // 寺
8e9c = U+6148 // 慈
8e9d = U+6301 // 持
8e9e = U+6642 // 時
8e9f = U+6b21 // 次
8ea0 = U+6ecb // 滋
8ea1 = U+6cbb // 治
8ea2 = U+723e // 爾
8ea3 = U+74bd // 璽
8ea4 = U+75d4 // 痔
8ea5 = U+78c1 // 磁
8ea6 = U+793a // 示
8ea7 = U+800c // 而
8ea8 = U+8033 // 耳
8ea9 = U+81ea // 自
8eaa = U+8494 // 蒔
8eab = U+8f9e // 辞
8eac = U+6c50 // 汐
8ead = U+9e7f // 鹿
8eae = U+5f0f // 式
8eaf = U+8b58 // 識
8eb0 = U+9d2b // 鴫
8eb1 = U+7afa // 竺
8eb2 = U+8ef8 // 軸
8eb3 = U+5b8d // 宍
8eb4 = U+96eb // 雫
8eb5 = U+4e03 // 七
8eb6 = U+53f1 // 叱
8eb7 = U+57f7 // 執
8eb8 = U+5931 // 失
8eb9 = U+5ac9 // 嫉
8eba = U+5ba4 // 室
8ebb = U+6089 // 悉
8ebc = U+6e7f // 湿
8ebd = U+6f06 // 漆
8ebe = U+75be // 疾
8ebf = U+8cea // 質
8ec0 = U+5b9f // 実
8ec1 = U+8500 // 蔀
8ec2 = U+7be0 // 篠
8ec3 = U+5072 // 偲
8ec4 = U+67f4 // 柴
8ec5 = U+829d // 芝
8ec6 = U+5c61 // 屡
8ec7 = U+854a // 蕊
8ec8 = U+7e1e // 縞
8ec9 = U+820e // 舎
8eca = U+5199 // 写
8ecb = U+5c04 // 射
8ecc = U+6368 // 捨
8ecd = U+8d66 // 赦
8ece = U+659c // 斜
8ecf = U+716e // 煮
8ed0 = U+793e // 社
8ed1 = U+7d17 // 紗
8ed2 = U+8005 // 者
8ed3 = U+8b1d // 謝
8ed4 = U+8eca // 車
8ed5 = U+906e // 遮
8ed6 = U+86c7 // 蛇
8ed7 = U+90aa // 邪
8ed8 = U+501f // 借
8ed9 = U+52fa // 勺
8eda = U+5c3a // 尺
8edb = U+6753 // 杓
8edc = U+707c // 灼
8edd = U+7235 // 爵
8ede = U+914c // 酌
8edf = U+91c8 // 釈
8ee0 = U+932b // 錫
8ee1 = U+82e5 // 若
8ee2 = U+5bc2 // 寂
8ee3 = U+5f31 // 弱
8ee4 = U+60f9 // 惹
8ee5 = U+4e3b // 主
8ee6 = U+53d6 // 取
8ee7 = U+5b88 // 守
8ee8 = U+624b // 手
8ee9 = U+6731 // 朱
8eea = U+6b8a // 殊
8eeb = U+72e9 // 狩
8eec = U+73e0 // 珠
8eed = U+7a2e // 種
8eee = U+816b // 腫
8eef = U+8da3 // 趣
8ef0 = U+9152 // 酒
8ef1 = U+9996 // 首
8ef2 = U+5112 // 儒
8ef3 = U+53d7 // 受
8ef4 = U+546a // 呪
8ef5 = U+5bff // 寿
8ef6 = U+6388 // 授
8ef7 = U+6a39 // 樹
8ef8 = U+7dac // 綬
8ef9 = U+9700 // 需
8efa = U+56da // 囚
8efb = U+53ce // 収
8efc = U+5468 // 周
8f40 = U+5b97 // 宗
8f41 = U+5c31 // 就
8f42 = U+5dde // 州
8f43 = U+4fee // 修
8f44 = U+6101 // 愁
8f45 = U+62fe // 拾
8f46 = U+6d32 // 洲
8f47 = U+79c0 // 秀
8f48 = U+79cb // 秋
8f49 = U+7d42 // 終
8f4a = U+7e4d // 繍
8f4b = U+7fd2 // 習
8f4c = U+81ed // 臭
8f4d = U+821f // 舟
8f4e = U+8490 // 蒐
8f4f = U+8846 // 衆
8f50 = U+8972 // 襲
8f51 = U+8b90 // 讐
8f52 = U+8e74 // 蹴
8f53 = U+8f2f // 輯
8f54 = U+9031 // 週
8f55 = U+914b // 酋
8f56 = U+916c // 酬
8f57 = U+96c6 // 集
8f58 = U+919c // 醜
8f59 = U+4ec0 // 什
8f5a = U+4f4f // 住
8f5b = U+5145 // 充
8f5d = U+5f93 // 従
8f5e = U+620e // 戎
8f5f = U+67d4 // 柔
8f61 = U+6e0b // 渋
8f62 = U+7363 // 獣
8f63 = U+7e26 // 縦
8f64 = U+91cd // 重
8f65 = U+9283 // 銃
8f66 = U+53d4 // 叔
8f67 = U+5919 // 夙
8f68 = U+5bbf // 宿
8f69 = U+6dd1 // 淑
8f6a = U+795d // 祝
8f6b = U+7e2e // 縮
8f6c = U+7c9b // 粛
8f6d = U+587e // 塾
8f6e = U+719f // 熟
8f6f = U+51fa // 出
8f70 = U+8853 // 術
8f71 = U+8ff0 // 述
8f72 = U+4fca // 俊
8f73 = U+5cfb // 峻
8f74 = U+6625 // 春
8f75 = U+77ac // 瞬
8f76 = U+7ae3 // 竣
8f77 = U+821c // 舜
8f78 = U+99ff // 駿
8f79 = U+51c6 // 准
8f7a = U+5faa // 循
8f7b = U+65ec // 旬
8f7c = U+696f // 楯
8f7d = U+6b89 // 殉
8f7e = U+6df3 // 淳
8f80 = U+6e96 // 準
8f81 = U+6f64 // 潤
8f82 = U+76fe // 盾
8f83 = U+7d14 // 純
8f84 = U+5de1 // 巡
8f85 = U+9075 // 遵
8f86 = U+9187 // 醇
8f87 = U+9806 // 順
8f88 = U+51e6 // 処
8f89 = U+521d // 初
8f8a = U+6240 // 所
8f8b = U+6691 // 暑
8f8c = U+66d9 // 曙
8f8d = U+6e1a // 渚
8f8e = U+5eb6 // 庶
8f8f = U+7dd2 // 緒
8f90 = U+7f72 // 署
8f91 = U+66f8 // 書
8f92 = U+85af // 薯
8f93 = U+85f7 // 藷
8f94 = U+8af8 // 諸
8f95 = U+52a9 // 助
8f96 = U+53d9 // 叙
8f97 = U+5973 // 女
8f98 = U+5e8f // 序
8f99 = U+5f90 // 徐
